"id, title, price, promo_price, url"
3018843,Конструктор LEGO BOOST  Набор для конструирования и программирования (17101),16789,,https://www.detmir.ru/product/index/id/3018843/
3596790,Конструктор LEGO Friends Киоск на Волшебной ярмарке 41687,3109,2169,https://www.detmir.ru/product/index/id/3596790/
3596889,Конструктор LEGO City Stunt 60299,1789,1499,https://www.detmir.ru/product/index/id/3596889/
3405551,Конструктор LEGO Friends Торговый центр Хартлейк Сити 41450,11389,,https://www.detmir.ru/product/index/id/3405551/
3405548,Конструктор LEGO Friends Органическое кафе Хартлейк-Сити 41444,3109,2129,https://www.detmir.ru/product/index/id/3405548/
3244547,Конструктор LEGO Minions Миньоны и дом 75551,5629,,https://www.detmir.ru/product/index/id/3244547/
3226556,Конструктор LEGO DUPLO Classic Коробка с кубиками 10913,3109,,https://www.detmir.ru/product/index/id/3226556/
3596974,Конструктор LEGO Ninjago Дар Судьбы Решающая битва 71749,4309,2999,https://www.detmir.ru/product/index/id/3596974/
3405584,Конструктор LEGO City Fire Команда пожарных 60282,5989,5389,https://www.detmir.ru/product/index/id/3405584/
3596759,Конструктор LEGO DUPLO Town Парк развлечений 10956,11989,9999,https://www.detmir.ru/product/index/id/3596759/
3405533,Конструктор LEGO DUPLO Disney Праздничный поезд Микки и Минни 10941,3109,,https://www.detmir.ru/product/index/id/3405533/
3405583,Конструктор LEGO City Fire Спасательный пожарный вертолёт 60281,2989,2499,https://www.detmir.ru/product/index/id/3405583/
3405530,Конструктор LEGO DUPLO Town Фермерский трактор и животные 10950,1909,1599,https://www.detmir.ru/product/index/id/3405530/
3405550,Конструктор LEGO Friends Дом семьи Андреа 41449,7789,,https://www.detmir.ru/product/index/id/3405550/
3405531,Конструктор LEGO DUPLO Town Конюшня для лошади и пони 10951,2989,2399,https://www.detmir.ru/product/index/id/3405531/
3596885,Конструктор LEGO City Арена для шоу каскадёров 60295,10789,9599,https://www.detmir.ru/product/index/id/3596885/
3596784,Конструктор LEGO Friends Гранд-отель Хартлейк Сити 41684,11389,,https://www.detmir.ru/product/index/id/3596784/
3405528,Конструктор LEGO DUPLO My First Пожарный вертолет и полицейский автомобиль 10957,949,699,https://www.detmir.ru/product/index/id/3405528/
3405579,Конструктор LEGO My City Центр города 60292,10789,8499,https://www.detmir.ru/product/index/id/3405579/
3193108,Конструктор LEGO Disney Frozen Волшебный ледяной замок Эльзы 43172,7789,,https://www.detmir.ru/product/index/id/3193108/
3596920,Конструктор LEGO City Wildlife Спасательный внедорожник для зверей 60301,4549,3999,https://www.detmir.ru/product/index/id/3596920/
3405655,Конструктор LEGO Technic Ferrari 488 GTE 42125,20269,,https://www.detmir.ru/product/index/id/3405655/
3405626,Конструктор LEGO Ninjago Ниндзя-перехватчик Х-1 71737,5389,,https://www.detmir.ru/product/index/id/3405626/
3596717,Конструктор LEGO DUPLO Disney Дом и кафе Минни 10942,5389,4299,https://www.detmir.ru/product/index/id/3596717/
3777764,Конструктор LEGO City Occasions Новогодний календарь 60303,2029,,https://www.detmir.ru/product/index/id/3777764/
